"Dashboard_Component","Tableau_Step","Data_Fields_Used","Chart_Type","Instruction_Details"
"1. Data Connection","Import Dataset","All","N/A","1. Open Tableau. 2. Click 'Text file' under Connect. 3. Select 'final_enriched_data.csv'. 4. Go to 'Sheet 1'."
"Chart 1: KPI Summary","Create Text KPIs","Order ID, Total Revenue","Text Table","1. Drag 'Total Revenue' (Sum) to Text. 2. Drag 'Order Value' (Average) to Text. 3. Drag 'Order ID' (Count Distinct) to Text. 4. Click the 'Text' shelf to format the font size (make Revenue large and bold)."
"Chart 2: Flavors Across Cities","Grouped Bar Chart","City, Cuisine, Order ID","Bar Chart","1. Drag 'City' to Columns. 2. Drag 'Order ID' (Count) to Rows. 3. Drag 'Cuisine' to Color. 4. Ensure Bar chart is selected in Marks. 5. Set View to 'Entire View'."
"Chart 3: Order Distribution","Segmented Bar Chart","Age Group, Rest. Segment, Order ID","Bar Chart","1. Drag 'Age Group' to Columns. 2. Drag 'Order ID' (Count) to Rows. 3. Drag 'Restaurant Segment' to Color. 4. Turn on Mark Labels (click 'T' on toolbar)."
"Chart 4: Cuisine Preferences","Pie Chart","Cuisine, Order ID","Pie","1. Change Marks drop-down to 'Pie'. 2. Drag 'Cuisine' to Color. 3. Drag 'Order ID' (Count) to Angle. 4. Drag 'Order ID' (Count) & 'Cuisine' to Label. 5. Quick Table Calculation on Label -> Percent of Total."
"Chart 5: Operational Analysis","Side-by-Side Bars","Meal Type, Company Type, Order ID","Bar Chart","1. Drag 'Meal Type' to Columns. 2. Drag 'Company Type' to Columns (next to Meal Type). 3. Drag 'Order ID' (Count) to Rows. 4. Drag 'Company Type' to Color."
"Chart 6: Customer Satisfaction","Box & Whisker Plot","Meal Type, Customer Rating","Boxplot","1. Drag 'Meal Type' to Columns. 2. Drag 'Customer Rating' to Rows. 3. Crucial: Go to Analysis menu and uncheck 'Aggregate Measures'. 4. Use 'Show Me' panel and select Box-and-Whisker Plot."
"Chart 7: City Demand","Sorted Bar Chart","City, Order ID","Bar Chart","1. Drag 'City' to Columns. 2. Drag 'Order ID' (Count) to Rows. 3. Click the 'Sort Descending' icon on the toolbar. 4. Drag 'Order ID' (Count) to Label."
"Chart 8: Revenue Contribution","Revenue Bar Chart","Meal Type, Total Revenue","Bar Chart","1. Drag 'Meal Type' to Columns. 2. Drag 'Total Revenue' (Sum) to Rows. 3. Change format on Revenue axis to Currency (Custom) -> No decimal places."
"Chart 9: Delivery Performance","Histogram View","Time Taken for Delivery","Histogram","1. Right-click 'Time Taken for Delivery' -> Create -> Bins (set bin size to 5 mins). 2. Drag this new Bin field to Columns. 3. Drag 'Time Taken for Delivery' (Count) to Rows. 4. You will clearly see the 40-60 min spike."
"Final: Dashboard Layout","Assemble Canvas","All Sheets","Dashboard","1. Click 'New Dashboard' icon at the bottom. 2. Set 'Size' to Automatic. 3. Drag a 'Horizontal Container' to the top and place the KPI Text sheet here. 4. Drag charts 8 & 9 below to highlight Revenue & Delivery bottlenecks prominently. 5. Make all filters 'Apply to all using this data source'."
